name,admission_rate,sat_score,cost_attendance,income_avg,income_med,size,lat,lon,city,ownership,region,state,locale_type,locale_size
Colorado State University-Fort Collins,0.8387,1197.0,26861.0,85721.0,63463.0,24210.0,40.574805,-105.080732,Fort Collins,public,rocky mountains,CO,city,medium
Rice University,0.11130000000000001,1513.0,63158.0,84483.0,65041.0,3962.0,29.717897,-95.402035,Houston,private non-profit,southwest,TX,city,large
Cornell University,0.1061,1471.0,70301.0,96568.0,75110.0,15105.0,42.4472,-76.483084,Ithaca,private non-profit,mid east,NY,city,small
Hamilton College,0.21280000000000002,1446.0,67670.0,110967.0,83853.0,1989.0,43.050245,-75.408195,Clinton,private non-profit,mid east,NY,suburb,medium
Miami University-Oxford,0.7455,1297.0,31811.0,101679.0,79777.0,17038.0,39.507757,-84.732954,Oxford,public,great lakes,OH,town,large
Haverford College,0.1879,1461.0,71614.0,95317.0,65396.0,1305.0,40.007452,-75.305207,Haverford,private non-profit,mid east,PA,suburb,large
Swarthmore College,0.0949,1465.0,68846.0,89476.0,48016.0,1544.0,39.905159,-75.354278,Swarthmore,private non-profit,mid east,PA,suburb,large
University of Wisconsin-Madison,0.5173,1365.0,25497.0,106025.0,92428.0,30360.0,43.075409,-89.404098,Madison,public,great lakes,WI,city,large
Stanford University,0.0436,1497.0,69109.0,80447.0,44842.0,7083.0,37.429434,-122.167359,Stanford,private non-profit,far west,CA,suburb,large
Carnegie Mellon University,0.17120000000000002,1507.0,70060.0,107339.0,91372.0,6483.0,40.44357,-79.941993,Pittsburgh,private non-profit,mid east,PA,city,large
Colgate University,0.24930000000000002,1443.0,69860.0,112062.0,76732.0,2934.0,42.819475,-75.536346,Hamilton,private non-profit,mid east,NY,town,medium
Columbia University in the City of New York,0.0591,1512.0,74435.0,65422.0,31310.0,8216.0,40.808286,-73.961885,New York,private non-profit,mid east,NY,city,large
Vanderbilt University,0.0961,1514.0,67392.0,91752.0,58118.0,6840.0,36.14659,-86.803369,Nashville,private non-profit,southeast,TN,city,large
Massachusetts Institute of Technology,0.0674,1545.0,67430.0,86738.0,53870.0,4550.0,42.359243,-71.093226,Cambridge,private non-profit,new england,MA,city,medium
Harvey Mudd College,0.1448,1531.0,74428.0,123783.0,104805.0,886.0,34.106515,-117.709837,Claremont,private non-profit,far west,CA,suburb,large
Colorado State University-Pueblo,0.9520000000000001,1040.0,20870.0,53095.0,38397.0,3630.0,38.30859,-104.579033,Pueblo,public,rocky mountains,CO,city,medium
Brown University,0.0767,1492.0,71050.0,107609.0,82670.0,6752.0,41.82617,-71.40385,Providence,private non-profit,new england,RI,city,medium
Dartmouth College,0.0874,1488.0,71827.0,102529.0,68455.0,4312.0,43.704115,-72.28994900000001,Hanover,private non-profit,new england,NH,town,small
Duke University,0.0891,1516.0,72466.0,95583.0,61560.0,6596.0,36.001135,-78.937624,Durham,private non-profit,southeast,NC,city,large
Colorado Mesa University,0.8072,1022.0,21181.0,61002.0,44794.0,8384.0,39.080643,-108.553275,Grand Junction,public,rocky mountains,CO,city,small
Georgetown University,0.1452,1456.0,71580.0,108786.0,78300.0,7089.0,38.908809,-77.073463,Washington,private non-profit,mid east,DC,city,large
University of Chicago,0.0726,1520.0,75735.0,100617.0,47139.0,6600.0,41.787994,-87.599539,Chicago,private non-profit,great lakes,IL,city,large
University of Notre Dame,0.1771,1502.0,69395.0,134386.0,112232.0,8568.0,41.703058,-86.238959,Notre Dame,private non-profit,great lakes,IN,suburb,large
University of Florida,0.3875,1362.0,21034.0,58287.0,39127.0,34564.0,29.64629,-82.347911,Gainesville,public,southeast,FL,city,medium
Colby College,0.1306,1437.0,68582.0,121521.0,94859.0,2000.0,44.564211,-69.66337,Waterville,private non-profit,new england,ME,town,small
University of Michigan-Ann Arbor,0.2283,1434.0,29407.0,93277.0,65045.0,30079.0,42.275921,-83.742769,Ann Arbor,public,great lakes,MI,city,medium
University of Rochester,0.2942,1422.0,70108.0,83523.0,62874.0,6348.0,43.126397,-77.631202,Rochester,private non-profit,mid east,NY,city,medium
New York University,0.19990000000000002,1419.0,69830.0,89356.0,51965.0,26339.0,40.729452,-73.997264,New York,private non-profit,mid east,NY,city,large
University of North Carolina at Chapel Hill,0.22710000000000002,1398.0,25527.0,81233.0,58193.0,18946.0,35.911769,-79.050969,Chapel Hill,public,southeast,NC,city,small
Middlebury College,0.1671,1439.0,69464.0,94718.0,57882.0,2550.0,44.009117,-73.176068,Middlebury,private non-profit,new england,VT,town,medium
University of Virginia-Main Campus,0.26430000000000003,1427.0,32213.0,100900.0,75580.0,16405.0,38.035665,-78.503428,Charlottesville,public,southeast,VA,suburb,small
Claremont McKenna College,0.0931,1446.0,71745.0,97309.0,71150.0,1318.0,34.102154,-117.71118799999999,Claremont,private non-profit,far west,CA,suburb,large
